instance_type,price
i4i.large,0.172
i4i.xlarge,0.343
i4i.2xlarge,0.686
i4i.4xlarge,1.373
m6i.large,0.096
m6i.xlarge,0.192
m6i.2xlarge,0.384
m6i.4xlarge,0.768
m6g.large,0.077
m6g.xlarge,0.154
m6g.2xlarge,0.308
m6g.4xlarge,0.616
m7i.large,0.1008
m7i.xlarge,0.2016
m7i.2xlarge,0.4032
m7i.4xlarge,0.8064
m7g.large,0.0816
m7g.xlarge,0.1632
m7g.2xlarge,0.3264
m7g.4xlarge,0.6528
c6i.large,0.085
c6i.xlarge,0.17
c6i.2xlarge,0.34
c6i.4xlarge,0.68
c6g.large,0.068
c6g.xlarge,0.136
c6g.2xlarge,0.272
c6g.4xlarge,0.544
c7i.large,0.08925
c7i.xlarge,0.1785
c7i.2xlarge,0.357
c7i.4xlarge,0.714
c7g.large,0.0723
c7g.xlarge,0.1445
c7g.2xlarge,0.289
c7g.4xlarge,0.5781
r6i.large,0.126
r6i.xlarge,0.252
r6i.2xlarge,0.504
r6i.4xlarge,1.008
r7i.large,0.1323
r7i.xlarge,0.2646
r7i.2xlarge,0.5292
r7i.4xlarge,1.0584
